 ,表格 1,,,,,,
,描述(Description),名称(Name),类别(Category),是否需要导入包(Import)默认为N,数据类型(Type),默认值(Default),
版本号(Version),"4.1.0版本新增，Sort（Enum）新添加两个枚举，用于评价方式展示;4.1.0_10.26版本添加新的商品类型（基因和体检）,GoodsID修改了pointSource描述",4.0,Version,,,,
包名(Package),,com.j1,Package,,,,
文件名(FileName),商品详情页,MallGoods,FileName,,,,
(商品详情页)MallGoods,商品展示页,MallGoodsSummary,CacheBean,,,,
,是否为处方药，3.8.60增加积分商品类型,GoodsType,Enum,,,,
,"有权限购买的处方药,4.3.0开放该功能。前端根据该字段进行渲染底部UI，只需将之前对应的文案修改一下就可以，还有购物车上面的数量采用预约清单的数量，因为加入清单协议和之前加入购物车协议相同。PB注意做逻辑判断。4.3.0之前的版本不对该种情况赋值",PrescriptionAllow,,,,,
,无权限购买的处方药,PrescriptionForbid,,,,,
,其他商品,UnPrescription,,,,,
,隐形眼镜,Glasses,,,,,
,赠品,GiftGoodsType,,,,,
,加价购赠品,AddMoneyType,,,,,
,华润堂商品,GoodsSellerType,,,,,
,3.8.60版本，积分商品,PointsType,,,,,
,4.1.0_10.26版本，基因商品,GeneType,,,,,
,4.1.0_10.26版本，体检商品,ExaminationType,,,,,
,"价格标签,3.7.3废弃，采用PricePromoteTag，3.7.3新增，代替PriceTag，PB需要修改为1、去掉之前的嗖嗖直降、特惠价，2、心动价疯抢价改为心动价",PriceTag,Model,,,,
,标签类型，手机专享为PhonePromote，其他的价格标签描述用OtherPromote。3.8.60版本积分商品沿用该字段，如:若“活动时间”赋值为TodaySalePromote，“剩余份数”为红底白字标签用EmployeeDiscountPromote。,promoteTags,,,HYModel<PromoteTag>,,
,"价格标签中的内部员工85折/嗖嗖直降…，参见功能文档,华润堂的内容返回。3.8.60版本积分商品，PB返回“活动时间”或“剩余份数”。",title,,,,,
,已省x元…，参见功能文档。3.8.60版本积分商品，PB返回剩余份数，格式：“10份”。,content,,,,,
,"活动剩余时间,转换成毫秒,剩余72小时才传该字段,客户端开始计时。3.8.60版本积分商品，PB返回倒计时时间。",timeLimit,,,,,
,标签的图片的url地址，优先显示该Url地址，如果该字段没有值时，再去读区title内容,tagImageUrl,,,,,
,促销标签,PromoteTag,Enum,,,,
,赠品，只有一个赠品的icon，加红底白字，PricePromoteTag读取内容字段为title，PromoteTagDetail读取content字段，参见3.3里面的商品清单UI,GiftPromote,,,,,
,优惠券,CouponsPromote,,,,,
