墨问西东的创始人是谁？,池建强。
可以介绍下池建强吗？,池建强曾任用友集团瑞友科技应用研究院副院长、锤子科技的研发总监，2017 年，他创建了极客时间App，2022 年，创立墨问西东科技。他70 后创业者，他从程序员起步，做到产品创始人，持续写作超过十年， 是公众号MacTalk的主理人，著有图书《MacTalk • 人生元编程》 和 《MacTallk • 跨越边界》。
墨问西东这个名字怎么理解？,为什么是墨，因为在中国，笔墨从某种程度上代表了创作。写作、绘画，皆以笔墨为工具。我将何以回应世界？以深情，以热泪，以笔墨。西东怎么理解？但行好事，无问西东。
墨问西东这家公司主要做什么？,公司的使命是“让创作成为一种生活方式”，他们想为创作者造一个好的创作和变现工具。
墨问西东有什么产品？,微信小程序搜索墨问便签。墨问便签并不是传统意义上的笔记软件，它是一个创作和分享工具，以小程序为载体，让有价值的内容，在人与人之间流动。
墨问西东怎么盈利呢？,墨问便签接下来会上线付费订阅的功能，正在开发之中。
墨问西东具体什么时候成立的？,2022年3月8日，营业执照的时间。
墨问西东在哪里办公？,北京朝阳望京。
墨问西东的公司文化是什么？,目前可以查到的有两条。第一条：谁负责，谁决定。第二条，谁爱开会就开掉谁。
墨问西东的公司文化如何理解谁负责，谁决定？,简而言之，这种文化就是鼓励员工要敢于做决策，并承担责任。领导说的并不一定是对的，很多时候，我们总是难以达成共识，这很正常。在出现观点不一致的情况时，我们的原则是谁负责，谁做决策，而不是谁职位高，谁做决策。
墨问西东的公司文化怎么理解谁爱开会就开掉谁？,开会有它的价值。但公司鼓励文档和工位走动式沟通，不鼓励大家有事没事开个会。开会是有成本的，公司更鼓励大家自主安排自己的时间，做好自己的工作，尽量创造不被打扰的工作环境。
墨问西东什么时情况下会开除人？,当一个人能力不匹配，无法再创造价值的时候，会坚决请他离开。墨问西东还是创业公司，要求每一个人都有创造力，养不起闲人。
墨问西东烧钱吗？,这个不清楚，但池老师的文章中，有多次提到他们需要自己输血。所以，除了墨问便签外，墨问西东还有一系列的内容产品，那些可能可以为他们提供现金流。
墨问西东还有哪些内容产品？,“让时间为你证明”知识星球、卖桃者说、墨问读书会、集训班。
